title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
La bandera,1935,88,Drama,6.9,Julien Duvivier,Pierre Mac Orlan,Robert Le Vigan,Raymond Aimos,Pierre Renoir,Gaston Modot,"Curfew bells are ringing at night in Paris, while a man and his drunken girlfriend Jacqueline walk down the street. Pierre Gilieth comes out of house #25 looking very frightened, both Pierre Gilieth and Jacqueline accidentally collide while consumed in their distraction. Pierre Gilieth decides to walk away but leaves a streak of blood on Jacqueline's dress. Immediately, she realizes her dress is stained with blood and gasps. The film cuts to his peering through Venetian blinds in Barcelona. A detective follows him around town, while Pierre Gilieth meets with fellow Frenchmen in a bar, who pick his pocket to give his identifications away to the detective. When Pierre Gilieth finds out he tries to fight the thieves, but then refuses to have the police investigate the matter.","","",""
Bride of Frankenstein,1935,75,Drama,7.8,James Whale,Mary Shelley,Ernest Thesiger,Gavin Gordon,Douglas Walton,Boris Karloff,"On a stormy night, Percy Bysshe Shelley (Douglas Walton) and Lord Byron (Gavin Gordon) praise Mary Shelley (Elsa Lanchester) for her story of Frankenstein and his Monster. Reminding them that her intention was to impart a moral lesson, Mary says she has more of the story to tell. The scene shifts to the end of the 1931 Frankenstein.","","",""
Public Cowboy No. 1,1937,61,Drama,5.6,Joseph Kane,Oliver Drake,Frank LaRue,Frankie Marvin,House Peters Jr.,Smiley Burnette,"A rash of strange cattle rustlings have occurred in which cattle are slaughtered on the range and their carcasses taken away. Sheriff Matt Doniphon (William Farnum) and his deputies, Gene Autry (Gene Autry) and Frog Millhouse (Smiley Burnette), watch over one rancher's cattle as they are driven to Box Canyon. After the sheriff and his men leave, the rustlers move in, radio the cattle's location from an airplane, and then bring in refrigerator trucks. The rancher and one of his workers are murdered, the cattle killed, and the carcasses taken away.","","",""
Change of Heart,1938,59,Comedy,4.8,James Tinling,Frances Hyland,Wade Boteler,Michael Whalen,Mickey Martin,Murray Alper,"After their graduation from college, friends Catherine Furness (Janet Gaynor), Chris Thring (Charles Farrell), Mack McGowan (James Dunn) and Madge Rountree (Ginger Rogers) move to New York City. Madge hopes to become an actress, lawyer Chris wants to work for a big firm, Mack aspires to being a radio crooner, and Catherine desires to be a writer. Although the quartet are great friends, their relationships are strained by their romantic entanglements, for Catherine is in love with Chris, who has eyes only for Madge, while Madge cannot make up her mind between Chris and Mack, who adores Catherine.","","",""
Rhythm of the Saddle,1938,55,Drama,6.0,George Sherman,Paul Franklin,LeRoy Mason,Walter De Palma,Arch Hall Sr.,Smiley Burnette,"The owner of the Silver Shadow ranch, Maureen McClune (Peggy Moran), runs the Frontier Week rodeo every year, relying on the financial success of the event to support the ranch. The current rodeo is the most profitable in the event's history, but Maureen is told by the rodeo organizers that she must do even better if she hopes to get her contract renewed. Maureen's main competition is Jack Pomeroy (LeRoy Mason), who owns a rival ranch and a local nightclub and gambling house.","","",""
The Ice Follies of 1939,1939,82,Drama,5.2,Reinhold Schünzel,Leonard Praskins,Lew Ayres,James Stewart,Roy Shipstad,Lewis Stone,"Larry Hall (James Stewart) and Eddie Burgess (Lew Ayres) have a successful skating act until Larry falls in love with Mary McKay (Joan Crawford), an inept skater whom Larry insists upon including in the act. Fired from job after job because of Mary's ineptitude, Larry keeps up his spirits by dreaming of producing a colossal ice show. Following their latest dismissal, the couple elope, and Mary, feeling guilty for damaging her husband's career, convinces Douglas Tolliver, Jr. (Lewis Stone), the head of Monarch Studios, to offer her a movie contract.","","",""
The Three Musketeers,1939,73,Action,5.9,Allan Dwan,M.M. Musselman,Miles Mander,Lionel Atwill,Joseph Schildkraut,John Carradine,"In Venice, the musketeers Athos, Porthos, and Aramis, with the help of Milady de Winter, steal airship blueprints made by Leonardo da Vinci. However, they are betrayed by Milady, who incapacitates them and sells the blueprints to the Duke of Buckingham.","","",""
Black Friday,1940,70,Drama,6.3,Arthur Lubin,Curt Siodmak,Paul Fix,Edmund MacDonald,Jack Mulhall,Bela Lugosi,"BLACK FRIDAY-synopsis Dr. Ernest Sovac (Boris Karloff) is being led to his execution in prison. Entering the viewing room, he gives his notes to a newspaper reporter (James Craig), telling him that his newspaper was the only one who treated him fairly. The reporter opens it and begins reading. From here we go back to flashback until the end.Prof. George Kingsley is teaching at Newcastle University. As class concludes, he announces that he may be taking a job at a major university next year. Jean Sovac (Anne Gwynne) talks to him and escorts him outside to a car driven by her father, Ernst, who is talking to Georges wife Margaret (Virginia Brissac) about her husbands interview with the university. They all go downtown where Kingsley asks to stop off for something forgotten. As he crosses the street, he is run down by two cars driven by gangsters Red Cannon (Stanley Ridges), Marnay (Bela Lugosi), Kane (Paul Fix), Devore (Raymond Bailey) and Miller (Edmund MacDonald) who are chasing each other. They crash into the building where George was going and he is knocked unconscious along with Cannon.At the hospital Dr. Sovac attends to both men. Kingsley has sustained brain damage while Cannon is paralyzed from the waist down. Sovac talks to Cannon, who promises to reward him if he helps him recover. Knowing that $500,000 is hidden somewhere by the gangster, Sovac agrees to help him. That night he performs a brain transplant: Cannons brain into Kingsleys body. When the police view the body of Cannon, now covered with a sheet, Dr. Sovac tells them the head wound along with a severed spine was the cause of death. Kingsley recovers.Sovac talks Kingsley into going to New York for a change of pace (Sovac is hoping to find out where the money is hidden so he can build his own clinic). They go to New York and check into the Midtown Hotel in the same suite Red Cannon used to hide out in. Kingsley seems to remember it but doesnt know why. Checking into the rooms, the bellhop remarks how the gangster formerly occupied this room and had a special knock which he used to wait on him. When Kingsley demonstrates this knock, the bellhop is surprised.They go to a nightclub where Cannons girlfriend, Sunny Rogers (Anne Nagel) is singing. When Kingsley gets a headache, they return to their rooms. Exhausted, Kingsley falls asleep. Sovac calls him Red Cannon until finally he responds. As Cannon, he takes on a different look and voice, remembering Sovac as the doctor who helped him. The doctor tells him he is now in the body of an English professor. Cannon looks himself over in a mirror, realizing that he will not be recognized. After strong-arming the bellhop, he escapes before Sovac realizes it. Next he is seen (in silhouette) strangling Devore. Later he returns to the hotel room by the fire escape and falls asleep on the bed. Sovac notices his bloody hands.Next morning the bellhop brings the freshly-laundered suit back to Sovac along with the morning paper, which states that Devore was killed. When Kingsley wakes up, Sovac mentions the killing to see his reaction. Later, as Kingsley is dressing, he hears a police siren and reverts to Cannon. He leaves by the fire escape. When there is no answer on the adjoining door, Sovac finds the door locked. He goes out in the hall to find Kingsleys door also locked. Getting in with the help of a maid, he finds the room empty.Sovac goes back to the nightclub and asks if Kingsley has been there. He is told that he was seen earlier but has left. At a table, Marnay, Kane and Miller discuss the murder. Marnay tells Kane to take care of Sunny as Red would. He enters her dressing room and presents her with a diamond-studded watch, promising it to her if she will meet them tonight at her apartment. Before Kane can do anything he is killed in his car by Cannon.That night, Sunny hears the familiar knock of Cannon and opens to find Kingsley who acts like Red and knows the secret bar and stash of weapons. He gives her the diamond watch which makes her nervous. The newspaper headline tells of the killing of Kane and the police discuss the case. They go to Marnays apartment where they find Cannon sitting at the desk. They are invited to wait for Marnay and ask who he is. He tells them he is Prof. Kingsley, whom they remember as the victim of the car crash involving Cannon. When they tell him to come down with them to the station, he shoots them both and escapes over the balcony. He is chased by more police over the rooftops and shot in the shoulder.Marnay and Miller enter Sunnys apartment, having given her the Cannon knock. She tries to convince them that someone came claiming to be Red Cannon. She tells them he knew things only Red would know. They promise to cut her in once the money is found.Dr. Sovac returns to the hotel, asking if Kingsley has been seen. When he goes to his room, he finds Margaret and Jean waiting (having already sent a telegram saying they were coming). He convinces them that Kingsley needed this trip and that Margaret was only spoiling him by waiting on him hand and foot. He tells them to return to Newcastle, saying they will come back when he is ready.When Cannon returns to his room, wounded, Sovac questions him and finds that he shot two cops after identifying himself as Kingsley. Sovac tells him he will be caught before the money is recovered. Suddenly Cannon knows Sovac knows about the money and threatens him. The doctor is able to convince him that he needs Sovac because otherwise he will revert to Kingsley permanently. He begins to dress the wound.Jean and Margaret discuss their suspicions and Jean says she will question her dad. Entering the room, she sees Cannon and calls out. Sovac takes her in the next room and confesses to the brain transplant. She tells him he has ruined his career and that they should return to Newcastle with them. He agrees and she leaves to tell Margaret.At the bar Cannon tells Sunny to pack so they can go to South America with the money. He is to return with it later and gets her car keys. In her dressing room she tells Marnay and Miller the plan. They agree to split the money three ways. She points him out as he is leaving the bar. They follow in their car. Cannon goes to a water reservoir and enters a door into a maintenance area that leads downstairs. Emerging from the door, Cannon carries a small metal box. He is confronted by Marnay and Miller who tell him to give up the box. When he tells them to come get it, Marnay approaches and a struggle ensues with Marnay thrown into the water. As he comes back up the stairs from the water, Marnay sneaks off with the box while Cannon struggles with Miller, killing him and dumping his body in the water.Sunny hears the knock on her door and opens up to find a wet Marnay who tells her the money split will now be two-way. He goes into the kitchen where she produces a screw driver to open the box. When a second knock comes, she tells Marnay to hide in the closet. He puts the box in the oven. Cannon enters and asks for Marnay. She tells him she hasnt seen him, but the wet tracks on the floor reveal that he is hiding in the closet. Locking the closet door, Marnay cries out to be released, telling Cannon where the money is. He gets the money and kills them both.Cannon hails a cab and tells the driver to take him to the airport. On the way he falls asleep and when they arrive, he wakes up as Kingsley, telling the driver to take him to the Midtown hotel. Paying the driver with a thousand dollar bill, he returns to the hotel with the box. Sovac gives him a sleeping powder, telling him they will talk to his wife in the morning.The next morning as they are checking out, the police arrest Kingsley and take him to the station. Sovac comes along, explaining that he has been recovering from a serious illness. At the police station it is revealed that the cab driver presented a thousand dollar bill which raised suspicion. When the cab driver is brought in to make an identification, he doesnt recognize Kingsley and they are released.Back in Newcastle, Kingsley is seen teaching class and announces that it will end early because his friend Dr. Sovac is leaving town. Suddenly a siren is heard and Cannon becomes upset, reverting to his gangster image. From the class he sees the vague images of Sunny and the gang members he killed all coming for him. The students crowd around but are upset as Cannon emerges and leaves.Sovac and his daughter are packing to leave when Cannon walks in, asking for him. He grabs Jean, demanding to see the doctor. She screams and calls for her dad. When Sovac comes in, he sees Cannon strangling his daughter. Forced to shoot, he kills Cannon, who falls and reverts back to Kingsley. Now the flashback returns to the present.  Sovac is electrocuted but his journal will tell the story and what was learned so that mankind may benefit.","revenge, murder, flashback",train,imdb
The Howards of Virginia,1940,116,Drama,6.0,Frank Lloyd,Sidney Buchman,Cedric Hardwicke,Cary Grant,Tom Drake,Paul Kelly,"The film is set in colonial Virginia between the 1750s and 1781. Matt Howard (Cary Grant), orphaned son of a backwoods Virginia farmer, uses his connections with his schoolmate Tom Jefferson to get employment as a surveyor and a grant of a thousand acres on the Shenandoah. While surveying the Williamsburg estate of planter Fleetwood Peyton (Cedric Hardwicke) he meets with Peyton's sister Jane (Martha Scott). For both of them it is eternal love at first kiss, and despite differences of class and culture, and the enmity of Fleetwood,","","",""
Rebecca,1940,130,Drama,8.1,Alfred Hitchcock,Daphne Du Maurier,Reginald Denny,Laurence Olivier,George Sanders,Melville Cooper,"\"A naïve young woman (Joan Fontaine) is in Monte Carlo working as a paid companion to Edythe Van Hopper (Florence Bates) when she meets the aristocratic but brooding widower Maximilian \"\"Maxim\"\" de Winter (Laurence Olivier). They fall in love","and within two weeks they are married. The young woman is now the second \"\"Mrs. de Winter.\"\"","",""
Road to Singapore,1940,85,Comedy,6.6,Victor Schertzinger,Don Hartman,Bob Hope,Johnny Arthur,Bobby Barber,Anthony Quinn,"Josh Mallon (Bing Crosby) and Ace Lannigan (Bob Hope) are best friends and work aboard the same ship. As their ship returns to the US after a long voyage, they see all the other sailors being mistreated by their wives and girlfriends, and the two friends pledge never to get involved with women again. Unfortunately, this vow is tested almost immediately. First, Ace is confronted by the family of a former lover, Cherry, who insist he marry her. Then Josh, who is the son of rich shipping magnate (Charles Coburn), has to fend off his fiancee, Gloria (Judith Barrett), and his father's wishes that he settle down and take over the family business. Things get worse when Josh and Ace get caught up fishing and turn up late for a party to celebrate Josh's engagement. Gloria's hostile drunken brother starts a fistfight and a news reporter takes photographs that cause a scandal. Josh and Ace flee to Hawaii and then head for Singapore.","","",""
Whistling in the Dark,1941,78,Comedy,6.7,S. Sylvan Simon,Robert MacGunigle,Red Skelton,Henry O'Neill,Conrad Veidt,Paul Stanton,"\"Wally Benton (Red Skelton) is the star of a mystery series on radio, The Fox, which he writes himself, inventing for each episode a crime that has \"\"only one loophole\"\" so the criminal can be caught. He is about to elope with Carol Lambert (Ann Rutherford)",but his agent (Eve Arden) tells him he must go out with the sponsor's daughter,Fran Post (Virginia Grey),or risk his show being canceled.
The Talk of the Town,1942,118,Comedy,7.5,George Stevens,Irwin Shaw,Rex Ingram,Leonid Kinskey,Charles Dingle,Tom Tyler,"Mill worker and political activist Leopold Dilg (Cary Grant) is accused of burning down a mill and causing the death of a foreman in the fire. In the middle of his trial, Dilg escapes from jail and seeks shelter in a house owned by former schoolmate Nora Shelley (Jean Arthur), now a schoolteacher on whom he has had a crush for years. Shelley has the house rented for the summer to distinguished law professor Michael Lightcap (Ronald Colman), who plans to write a book. Both Lightcap and Dilg arrive within minutes of each other.","","",""
Frankenstein Meets the Wolf Man,1943,74,Horror,6.4,Roy William Neill,Curt Siodmak,Bela Lugosi,Patric Knowles,Lionel Atwill,Dennis Hoey,"The movie opens with the view of a full moon in a graveyard. As a rave squawks two grave robbers break into Larry Talbot's (aka The Wolfman- Lon Chaney Jr.) mausoleum. even though Larry has been dead for four years, his body is fully preserved. As the moon light hits the body, Larry comes to life and transforms. He kills the closer grave robber and the second one escapes. Later, the Wolfman is seen in a near by town and is confronted by a police officer. The beast runs down an ally and the officer meets his demise. Later , Larry finds himself in a hospital with a big wound on his forehead. Dr. Mannering talks with him and Larry talks about his curse. Inspector Owen (from the police department) thinks Larry is crazy and the Dr. thinks that Larry believes that he is a murdering wolf, because of his head injury.","","",""
I Dood It,1943,102,Comedy,6.2,Vincente Minnelli,Sig Herzig,Red Skelton,Sam Levene,Richard Ainley,Jimmy Dorsey and His Orchestra,"\"Bumbling hotel pants-presser Joseph Rivington Renolds (Red Skelton) is obsessed with Broadway performer Miss Constance 'Connie' Shaw (Eleanor Powell) and routinely \"\"borrows\"\" his customers' fancy clothes in order to follow her around town. The temperamental Connie",however,is oblivious to Joe,preferring the company of her fiancé
The Mummy's Curse,1944,60,Action,5.4,Leslie Goodwins,Bernard Schubert,Peter Coe,Kurt Katch,Martin Kosleck,Charles Stevens,"The Southern Engineering Company is trying to drain the swamp of Cajun Country for the public good. However, the efforts are being hampered by the superstitions of the workers, who believe the area to be haunted by the mummy and his bride.","","",""
To Have and Have Not,1944,100,Comedy,7.8,Howard Hawks,Ernest Hemingway,Marcel Dalio,Walter Sande,Sheldon Leonard,Hoagy Carmichael,"\"***This synopsis has errors and timeframe issues. I'm in the process of correcting those and giving more detail to it, much of which I've already done. This is my favorite Bogart movie of all, and with all due respect to the original writer, I'm not completely re-writing it, but simply organizing it sequentially. I will have it completed in the next few days as time allows me.***Harry Morgan (Humphrey Bogart) and his sidekick Eddie (Walter Brennan) run a charter fishing boat in Martinique (controlled by the French government at Vichy, which in turn was Nazi-controlled after 1940). Their current client is an American fisherman named Johnson who grudgingly pulls out money to pay for gasoline for the boat, and who then ineptly loses two large marlins by not following Harry's orders. The second loss also includes all the tackle he was using. He tells Harry he is leaving Martinique in the morning and will pay him after he goes to the bank in the morning, because he doesn't have enough money on him.Back at the hotel, Gerard (Frenchy), who is the hotel owner and a member of the Free French resistance, comes to Harry's room and asks him to take on a smuggling job for the Free French Resistance movement. Suddenly a sultry young woman (Lauren Bacall) appears in his doorway asking for a match. Harry tosses her a box of matches and she leaves. Harry asks Frenchy who she is, and he says she came that afternoon on the plane from the south. Harry tells Frenchy he doesn't want any part of the movement or their activities.Later in the dining room he notices Marie with his American client, who acts too fresh for her taste. She brushes him off and goes to stand by the piano, where Cricket (Hoagy Carmichael) is playing and singing \"\"Am I Blue?\"\" She joins him in the verse and they harmonize well. Harry sees Marie pick up Johnson's wallet and leave the room. Frenchy stops at Harry's table and tells him he hasn't been able to head off the men who want to hire Harry's boat for the smuggling operation",and Harry tells him he'd better head them off. Harry follows Marie upstairs and stops her as she's entering her own room and makes her come with him into his room. He makes her hand over the wallet and finds it's full of traveller's checks and cash,enough to pay his bill,along with a plane reservation for earlier the next morning than Johnson had said he'd meet Harry to pay him. Harry is glad Slim (as he calls her)
The Body Snatcher,1945,78,Horror,7.3,Robert Wise,Robert Louis Stevenson,Bela Lugosi,Boris Karloff,Russell Wade,Bobby Burns,"A group of friends share a few drinks, when an eminent doctor, Wolfe Macfarlane, enters. One of the friends, Fettes, recognizes the name and angrily confronts the new arrival. Although his friends all find this behaviour suspicious, none of them can understand what might lie behind it.","","",""
Dead of Night,1945,77,Drama,7.5,Alberto Cavalcanti,John Baines,Frederick Valk,Anthony Baird,Mervyn Johns,Michael Redgrave,"Architect Walter Craig (Mervyn Johns) has been invited by Elliot Foley (Roland Culver) to his country home in Kent to consult on some renovations. Upon arrival at the cottage, he reveals to Foley and his assembled guests that despite never having met any of them, he has seen them all in a recurring dream.","","",""
Wonder Man,1945,98,Comedy,6.8,H. Bruce Humberstone,Don Hartman,Allen Jenkins,Otto Kruger,Steve Cochran,Donald Woods,"\"Danny Kaye plays a double role as a pair of estranged \"\"super-identical twins\"\"",with very similar looks,but very different personalities. Buster Dingle,"who goes by the stage name \"\"Buzzy Bellew\"\""
13 Rue Madeleine,1947,95,Action,6.9,Henry Hathaway,John Monks Jr.,Richard Conte,Horace McMahon,Trevor Bardette,Frank Latimore,"\"Bob Sharkey (James Cagney) is an instructor of the 77th group of espionage agent candidates to be trained in the United States to infiltrate Nazi-occupied Europe. He is alerted that one of the students is a German agent and told to identify him or her. Sharkey is able to determine that the enemy agent is \"\"Bill O'Connell\"\" (Richard Conte)",who performs too well when he succeeds in a field problem designed to cause the novices to make mistakes. Sharkey's boss,Charles Gibson (Walter Abel),confirms that O'Connell is really Wilhelm Kuncel
The Madonna's Secret,1946,79,Drama,6.4,Wilhelm Thiele,Bradbury Foote,Michael St. Angel,Edward Ashley,Pierre Watkin,John Litel,"Businessman John Earl observes a piece of artwork in a museum, gazing at it reverently. He asks the museum curator how much it costs, and the curator says that it is not for sale. The artist, James Harlan Corbin [Lederer], does not wish to sell the painting. Nonplussed, Earl returns to his office and phones Corbin with his proposal to sell. Again, Corbin refuses. Earl continues his pursuit to find out who the model for the painting was. He learns it is Helen North, a young woman who looks nothing like the woman in the painting. He visits with her to learn his location, but she refuses, telling him that she will be singing at a local nightclub, where Corbin frequents. Earl finds both of them in the museum, and again confronts Corbin. Becoming clearly annoyed, Corbin invites the singer out for a night in his yacht. She agrees, but is later found washed ashore. Although Police Lt. Roberts initially questions Helen's suitor Hunt Mason, Mason implicates Corbin as the last person who saw Helen North. John Earl works with the police department to arrange for Helen's sister Linda to apply for modeling, in order to spy on Corbin. The two return to Corbin's boathouse. While there, Linda calls for Earl and tells his chef that she is in danger and to notify the police. There, she learns that Corbin did not murder her sister. Thereafter, she falls in love with Corbin and agrees to support him against the district attorney's allegations he killed both Helen and another model, Madonna. Although Corbin has visions that he did so, Linda tells him to make sure he is telling the truth before confessing such heinous crimes. Linda returns home with Corbin's mother, who poisons her tea and tries to inject her with a lethal substance before police shoot. Corbin had suddenly recognized who it was that had planted evidence at the boathouse to implicate him. Police arrive just in time to save Linda from death but not Mrs. Corbin, who dies in her son's arms.",murder,train,wikipedia
Boomerang!,1947,88,Drama,7.2,Elia Kazan,Richard Murphy,Dana Andrews,Lee J. Cobb,Sam Levene,Taylor Holmes,"Father Lambert (Wyrley Birch), a priest, is shot dead on a Bridgeport, Connecticut street at night. The police, led by Chief Robinson (Lee J. Cobb), fail to immediately find the murderer. It soon becomes a political hot potato, with the police accused of incompetence, and the city's reform-minded administration comes under attack. Robinson and the prosecutor Henry Harvey (Dana Andrews) come under severe pressure by political leaders to find the killer or bring in outside help.","","",""
The Upturned Glass,1947,90,Drama,6.9,Lawrence Huntington,John Monaghan,James Mason,Morland Graham,Henry Oscar,Brefni O'Rorke,"\"A medical school class attends a lecture on the psychology of crime. The unnamed lecturer (James Mason) announces that while his past lectures have covered criminals with abnormal psychology, today's lecture will focus on \"\"the sane criminal\"\" who may have a \"\"strong sense of justice\"\". He then describes the case of a murderer who is a \"\"perfectly sane","valuable member of society\"\"","a surgeon to whom he gives the fictitious name of \"\"Michael Joyce\"\" (also played by Mason). The film depicts Michael's story in flashbacks narrated by the lecturer",indicating to the film viewing audience that unbeknownst to the medical school class
