title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
Tomorrow at Seven,1933,62,Comedy,5.6,Ray Enright,Ralph Spence,Cornelius Keefe,Allen Jenkins,Henry Stephenson,Chester Morris,"A man unveils a valuable painting he picked up for $50,000 and is killed. A card with a large black ace (of spades) is put on his chest. Another “Black Ace” victim. The killer sends his victims a Black Ace card, warning them they are to die and then kills them, his way of taunting the police. Neil Broderick, an author, intends writing a book about him and is on his way to see Thornton Drake to get more information about him. Austin Winters is his secretary and Neil met his daughter Martha on the train, on the way to Chicago.","","",""
Tarzan and His Mate,1934,104,Action,7.2,Cedric Gibbons,Edgar Rice Burroughs,Everett Brown,Neil Hamilton,Forrester Harvey,Nathan Curry,"The film begins with Tarzan and Jane Parker living in the jungle. Harry Holt and his business partner Martin Arlington meet up with them on their way to take ivory from an elephant burial ground. Holt tries to convince Jane, who was with him on his first trip to the jungle, to return with him by bringing her gifts from civilization including clothing and modern gadgets but she tells them she would rather stay with Tarzan.","","",""
Alice Adams,1935,99,Comedy,6.9,George Stevens,Booth Tarkington,Fred Stone,Frank Albertson,Jonathan Hale,Grady Sutton,"Alice Adams (Katharine Hepburn) is the youngest daughter of the Adams family. Her father (Fred Stone) is an invalid employed as a clerk in a factory owned by Mr. Lamb (Charles Grapewin), who has kept Adams on salary for years despite his lengthy illness. Her mother (Ann Shoemaker) is embittered by her husband's lack of ambition and upset by the snubs her daughter endures because of their poverty. Alice's older brother, Walter (Frank Albertson), is a gambler who cannot hold a job and who associates with African Americans (which, given the time period in which the film is set, is considered a major social embarrassment). As the film begins, Alice attends a dance given by the wealthy Mildred Palmer (Evelyn Venable). She has no date, and is escorted to the occasion by Walter. Alice is a social climber like her mother, and engages in socially inappropriate behavior and conversation in an attempt to impress others. At the dance, Alice meets wealthy Arthur Russell (Fred MacMurray), who is charmed by her despite her poverty.","","",""
Marihuana,1936,57,Drama,4.0,Dwain Esper,Hildegarde Stadie,Hal Taggart,Pat Carlyle,Paul Ellis,Hugh McArthur,"Burma is a confused girl who likes to party. One day she meets some strangers in a bar who invite her and her group to a party. She goes to the party with her friends, they all drink alcohol, only the girls at the party smoke marijuana unknowingly, and keep on laughing. Burma and her boyfriend have sex on the beach while her friends go skinny-dipping.","","",""
The Lawless Nineties,1936,55,Drama,5.6,Joseph Kane,Joseph F. Poland,Al Bridge,Lane Chandler,John Wayne,George 'Gabby' Hayes,"In the 1890s, undercover federal agents John Tipton (Wayne) and Bridger (Chandler) head for Crocket City, Wyoming to supervise the vote on whether to join the Union. One group of local outlaws organized by Charles Plummer (Harry Woods) is using dynamite to terrorize the populace and ensure that the vote fails. In the chaos, Tipton and Bridger are separated and Tipton befriends a trio of settlers harassed by outlaws. They are Major Carter (Hayes), his daughter Janet (Rutherford) and their servant Moses (Fred Toones).","","",""
Souls at Sea,1937,92,Action,6.8,Henry Hathaway,Grover Jones,George Zucco,Harry Carey,George Raft,Robert Cummings,"The story is based on two distinct early 19th-century themes: the suppression of the Atlantic slave trade, and the often-tragic fate of people on ships lost at sea.","","",""
Broadway Musketeers,1938,63,Drama,6.0,John Farrow,Don Ryan,Horace McMahon,Richard Bond,Dick Purcell,Anthony Averill,"Isabel Dowling (Margaret Lindsay), Fay Reynolds (Ann Sheridan), and Connie Todd (Marie Wilson) are three women who grew up together in an orphanage, and who meet again later in life. Each woman's life has taken a very different path: Isabel is married with a young daughter, Connie is an office secretary, and Fay performs in nightclubs. The three are reunited when Fay is arrested and Isabel and Connie arrive to bail her out. They make plans to keep in touch.","","",""
Kidnapped,1938,90,Drama,6.6,Alfred L. Werker,Robert Louis Stevenson,Miles Mander,C. Aubrey Smith,Nigel Bruce,John Carradine,"The central character and narrator is 17-year-old David Balfour. (Balfour is Stevenson's mother's maiden name.) His parents have recently died, and he is out to make his way in the world. He is given a letter by the minister of Essendean, Mr. Campbell, to be delivered to the House of Shaws in Cramond, where David's uncle, Ebenezer Balfour, lives. On his journey, David asks many people where the House of Shaws is, and all of them speak of it darkly as a place of fear and evil.","","",""
You Can't Take It with You,1938,126,Comedy,7.8,Frank Capra,Robert Riskin,Samuel S. Hinds,Edward Arnold,James Stewart,Donald Meek,"A successful banker, Anthony P. Kirby (Edward Arnold), has just returned from Washington, D.C., where he was effectively granted a government-sanctioned munitions monopoly, which will make him very rich. He intends to buy up a 12-block radius around a competitor's factory to put him out of business, but there is one house that is a holdout to selling. Kirby instructs his real estate broker, John Blakely (Clarence Wilson), to offer a huge sum for the house, and if that is not accepted, to cause trouble for the family.","","",""
Harlem Rides the Range,1939,56,Drama,5.0,Richard C. Kahn,Spencer Williams,Leonard Christmas,F.E. Miller,Spencer Williams,Tom Southern,"Bob Blake (Herb Jeffries) and his sidekick Rusty (Lucius Brooks) are two cowboys riding across the countryside in search of adventure. They come across a ranch where it appears a murder has taken place but they find the victim of the crime, Jim Dennison (Leonard Christmas), still alive. Dennison is hiding in fear of his life after what had taken place at the ranch. Bob sees a picture of the rancher’s daughter Margaret (Artie Young) and falls in love at first sight; he cannot stop talking about how beautiful the girl in the picture is. Bob drops a glove when he leaves the ranch, which causes problems later.","","",""
It Could Happen to You,1939,70,Comedy,6.4,Alfred L. Werker,Lou Breslow,Clarence Kolb,Robert Greig,Paul Hurst,Douglas Fowley,"NYPD officer Charlie Lang (Nicolas Cage) is a kind and generous man who loves his job in Queens, New York, where he lives. His wife, Muriel (Rosie Perez), works at a hair salon and, unlike him, is greedy, materialistic, and selfish, constantly complaining about their situation in life. Waitress Yvonne Biasi (Bridget Fonda) is bankrupt because her husband, Eddie (Stanley Tucci), whom she could not yet afford to divorce, emptied their joint checking account without her permission, while also leaving her with over $12,000 in credit card debt. Charlie meets her when she waits on him at the diner where she works. Since he doesn't have enough money to pay the tip, he promises to give her either double the tip or half of his prospective lottery winnings the next day. He wins $4 million ($6.5 million today) in the lottery the next day and keeps his promise, despite Muriel's protests.","","",""
Dangerously They Live,1941,77,Drama,6.4,Robert Florey,Marion Parsonnet,Christian Rub,Moroni Olsen,Frank Reicher,Raymond Massey,"In New York City, German agents arrange for Jane Graystone (Nancy Coleman) to take a taxi driven by one of their own men. The abduction goes awry when the taxi collides with another vehicle. Both driver and passenger are taken to the hospital in an ambulance attended by intern Dr. Mike Lewis (John Garfield). On the way, Jane regains consciousness and claims to have amnesia; she cannot remember who she is. The driver reports this to his superiors. Mike is excited, as this is his area of study, and persuades Dr. Murdoch (Roland Drew) to let him take the case.","","",""
That Hamilton Woman,1941,125,Drama,7.2,Alexander Korda,Walter Reisch,Laurence Olivier,Gilbert Emery,Halliwell Hobbes,Alan Mowbray,"Emma Hart, a beautiful dance hall girl who's been passed around numerous nobilities, is sent by her latest lover, Charles Greville, to stay with his uncle Sir William Hamilton, the British ambassador to Naples. Emma is to learn French, Italian and upper-class manners in a month's time, then marry Charles.Sir William is a passionate art collector and considers Emma a rare piece of art he must possess. He deceives Emma, saying that Charles never intends to marry her and only sent her to Naples to get rid of her. Sir William comforts her by introducing her to Naples' elite society, offering an opportunity to enter the upper-class world. Soon Emma forgets about Charles and marries Sir William - the dance hall girl turned courtesan is now Lady Hamilton, Her Excellency.Three years later, the whole of Naples is awaken by cannon salutes from a battleship. Horatio Nelson, a famous English Naval officer, has arrived. Nelson requests that Naples honour its treaty with England and supply troops to aid the British war effort against France. Emma uses her relationship with the Queen of Naples and gets Nelson his reinforcements. Nelson leaves immediately, with a vivid impression of the most beautiful woman in Europe.The war continues for another five years, and Nelson finds himself in Naples, again in need of supplies. But this time English ships are not allowed to enter Naples, as the King does not wish to provoke an attack by the French. Seeing that Sir William is unable to persuade the King, Emma again uses her influence over the Queen and Nelson is granted permission to receive supplies from any Neapolitan port. Emma delivers the mandate to Nelson, and the ship leaves.Nelson does not stay away long. He returns to Naples after his victory in Egypt, warning the king about advancing French troops, but fails to persuade the king to take action. Exhausted and in poor health, Lord Nelson collapses and is confined to bedrest for an extended time.Emma takes charge of looking after Lord Nelson; and although Nelson, having lost an arm and an eye in battle, is not attractive or socially adept, the two fall in love. They don't have much time together though; as soon as Nelson recovers, he is ordered to return to war.The affair between Nelson and Emma grows serious, leading Nelson to disobey his orders and rescue the Hamiltons and the royal family before Napoleon takes Naples. The Admiralty orders Nelson to return to London immediately, while Sir William is instructed to take his wife to Turkey. The lovers are determined to stay together after so many partings, so Emma, her mother, and Sir William return to England with Nelson.Due to Nelson's popularity as a war hero, he is spared court martial and offered a seat in the House of Lords. Emma realises that if their affair continues she will destroy Nelson's career, and calls off their plan to divorce their respective spouses. As she is about to leave Nelson, she finds she is pregnant.Lord Nelson leaves again, to fight the Danish fleet, and returns a year later to find Emma preparing a return to the stage. Sir William's entire art collection was lost in a shipwreck and the blow proved too much for him; he died and left his inheritance to his nephew. Now penniless, Emma is abandoned by her high-society friends and has to earn her own living to support her mother and her illegimate daughter, Horatia.Disillusioned by the prime minister's decision to sign the peace treaty with France, and infuriated by his own neglect and failure to protect Emma, Lord Nelson retires and takes Emma's little family to the country. She finally achieves her fairy tale life.Emma's bliss is short-lived. Napoleon breaks the treaty and invades England, and Nelson is called out of retirement to defend his country. This time, he does not return. And Emma's life becomes a living death.","tragedy, melodrama",train,imdb
Topper Returns,1941,88,Comedy,6.8,Roy Del Ruth,Thorne Smith,George Zucco,Eddie 'Rochester' Anderson,Roland Young,Donald MacBride,"Wealthy heiress Ann Carrington (Carole Landis), and her best friend Gail Richards (Joan Blondell) are riding in a speeding taxi driven by Bob (Dennis OKeefe), along the coast. A figure dressed all in black, with covered face and hat, aims a rifle with a telescopic sight with crosshairs at the cab from a distance and shoots at one tire to create an accident that nearly kills everyone. The taxi ends up on its side at the very edge of a high cliff, inches away from having fallen into crashing ocean waves below.Bob leaves his fares on the road and walks back to seek help. Ann and Gail try hitchhiking first, then sit in the middle of the road so a car is forced to stop, a sports car. In the car are banker Cosmo Topper (Roland Young) and his chauffeur Eddie (Eddie Rochester Anderson). The two girls brazenly climb into the car and insist on being driven to Anns destination, the Carrington Mansion. The sports car is so small that Gail must ride sitting on Cosmos lap.As they drive past Toppers residence, Mrs. Clara Topper (Billie Burke) sees her husband ride past with a curvaceous blond sitting on his lap, and distraughtly concludes he is having an adventure.The girls are dropped off at the stately cliff top mansion next door to Toppers residence, where they are received by three creepy staff members, butler Rama (Trevor Bardette), housekeeper Lillian (Rafaela Ottiano), and doctor Jeris (George Zucco).Dr. Jeris warns Ann that her father Henry Carrington (H. B. Warner) is in poor health and leads her into another room to meet him. In their conversation we find out that the next day would be Anns twenty first birthday, the day that, according to her mothers will and a trust fund, she is to come into full control of a fortune. Ann has no memories of her father, as they have been separated since her mother died in a cave in while she was inspecting the family mine together with a business partner.After meeting her father, Ann and Gail are shown to upstairs adjoining bedrooms. As Ann crosses the main hall, a heavy giant chandelier drops down, and she escapes harm because Gail screams in time for her to jump out of the way, being missed by inches. Anns bedroom is spectacularly decorated and Gail makes such a fuss about how beautiful it is that Ann insists that they trade beds, and Gail sleeps in what was supposedly Anns bed.In the middle of the night, a secret panel opens in Anns bedroom, the masked, hatted figure dressed all in black enters the bedroom, and Gail is knifed to death as she gets up to shut the window, evidently having been mistaken for Ann.Gails ghost separates from her body. Ghost-Gail slowly realizes she has been murdered instead of her friend Ann, and that someone in the house is guilty. She goes to the next mansion down the road, where Topper lives, to find someone who can both protect Ann and solve her own murder. At the next house she finds Topper, who can see her and talk to her, and convinces him to come to the Carrington mansion by threatening to make a terrible scandal with his wife if he doesnt.Topper uses the house phone to call Eddie the chauffeur, to get the car ready. Eddie grumbles protests but he does drive Topper to the next door mansion, not without experiencing, along the way, an enormous number of puzzles as doors open and shut, cushions depress, voices are heard, cigarettes smoke themselves, footprints appear on the walkways, and so on. Eventually he gets so scared that he drives back to Toppers and starts packing to leave. Mrs. Topper finds him and asks where Cosmo is, and wants to be driven to the house next door to find him. Eddie says hes had it and wants to go back to work for his former employer, Mr. Benny, but Mrs. Topper convinces him to go to look for Topper.Meantime, Topper with the guidance of Ghost-Gail finds the dead body of Gail, then goes downstairs and decides to phone the police. But the phone does not work, and the creepy staff find him and surround him and keep him confined. He insists on going up to the bedroom to show them the body but Gails body is not there. The doctor and Mr. Carrington now treat him as a lunatic.At this point Mrs. Topper, her maid Emily (Patsy Kelly), and Eddie arrive and insist Topper is in the house and they push their way in to look for him.By this time it is nearly daytime, Bob the taxi driver comes to the house to collect his unpaid fare, and Ann, who is wondering what happened to Gail, becomes frightened and asks Bob to stick around and escort her, which he does, as she is very pretty and appealing. They go into the bedroom where Gail had slept and while Ann is there the black dressed masked assassin goes to attack Ann but she sees him in time, in a mirror, screams, and Bob responds in time to see the black figure escape by the window.In the following sequences, there are lots of comings and goings with people disappearing and reappearing by way of concealed stairways and hallways reachable by moving or rotating wall panels. Mrs. Topper calls the police and soon a police detective (Donald Mc Bride) with a squad of cops comes in and starts asking questions. He gets confused by the conflicting answers and by tricks that Ghost-Gail plays from time to time.The creepy staff and Mr. Carrington, who, by the way, no longer acts and moves as a sick frail man, confine Mr. Topper in the kitchen walk in refrigerator for a while. Later, Ghost-Gail steals the gun from the detectives pocket and with it, she pushes Topper to get everyone else into the refrigerator and lock them in, so as to gain time to find Gails body, as the detective insists there isnt any murder evidence if there isnt a body.Lillian the housekeeper, who models her clothing and behavior after the creepy Mrs. Danvers in the movie Rebecca, decides to start talking to say she was in some of the deceptions but had nothing to do with the murder, the lights go out suddenly and Lillian disappears. It turns out there is a secret chain in the fireplace that, when pulled, makes the chair in the center of the room tilt backwards and dump the occupant down a vertical shaft and land in a water filled cave below the mansion.Eventually, the threads come together, Topper and Gail manage to get Gails body back from a small ship a short distance away from the water cave, the body is displayed, and despite the comic total confusion of the detective, logic finds that the killer must have been the person who was standing nearest the fireplace when Lillian was about to talk, and that person was none other than . . .","","",""
The Wolf Man,1941,70,Horror,7.2,George Waggner,Curt Siodmak,J.M. Kerrigan,Bela Lugosi,Patric Knowles,Ralph Bellamy,"\"The 1941 version of the Wolf Man opens with the Universal Picture airplane and globe logo and theme, followed by title and credits. The featured players are shown with the actor's name and character's name. We zoom in on a shelf of books. An encyclopedia is opened to the article on Lycanthropy. Talbot Castle is mentioned in the old legend.The chauffeur (an uncredited Eric Wilton) drives Lawrence Stewart Talbot, known affectionately, as Larry (Lon Chaney, Jr.) to the family home, Talbot Castle. He is greeted, very formally, by his father, Sir John Talbot (Claude Rains). They enter a large room and Larry is introduced to Captain Paul Montford (Ralph Bellamy), the chief constable of the district. Larry expresses his sorrow over the death of his older brother, and heir to the family estate, John. Sir John apologizes for being so distant. Larry has been away for eighteen years. Two butlers enter the room carrying a large crate: a part for the telescope. Sir John and Larry walk up to the attic, now serving as an observatory. Larry works on the telescope, having worked for an optical company in California. He proudly explains one job was on the Mt. Wilson observatory. Larry trains his telescope on the town below and spots Gwen Conliffe (Evelyn Ankers) in her room putting on earrings. He takes a trip to Conliffe's antique shop hoping to meet Gwen in person. He does and asks for earrings as a gift. Larry asks for a very specific pair, then tells Gwen she has a pair up in her room. He decides to buy a cane. Larry grabs one with a silver wolf's head and jokes that it would make a good golf putter. Larry is trying to be charming, but balks at paying three pounds until Gwen explains, \"\"Well",that's a very rare piece. It shows the wolf and the pentagram,"the sign of the werewolf.\"\" She tells him a bit of the legend. She recites the old poem","\"\"Even a man who is pure in heart and says his prayers by night"
Road to Morocco,1942,82,Comedy,7.0,David Butler,Frank Butler,Vladimir Sokoloff,Robert Barron,Mikhail Rasumny,Leon Belasco,"The film opens with a freighter at sea exploding and news announcements. The cause of the explosion is a mystery, with all crew accounted for with the exception of two unidentified stowaways.","","",""
Kate & Leopold,2001,118,Comedy,6.4,James Mangold,Steven Rogers,Bradley Whitford,Matthew Sussman,Hugh Jackman,Paxton Whitehead,"On 28 April 1876, Leopold, His Grace the 3rd Duke of Albany (Hugh Jackman), is a stifled dreamer. He has created a design for a primitive elevator, and has built a small model of this device. His strict uncle Millard (Paxton Whitehead) has no patience for what he characterises as a sign of Leopold's disrespect for the Monarchy, chastising him, and telling him he must marry a rich American, as the Mountbatten family finances are depleted. In response to his uncle's accusations of his blemishing the family name, Leopold counters that the new nobility is to be found in those who pursue initiatives, hence his interest in the sciences and inventions.","","",""
White Cargo,1942,88,Drama,6.0,Richard Thorpe,Ida Vera Simonton,Frank Morgan,Clyde Cook,Henry O'Neill,Bramwell Fletcher,"Arriving by seaplane to inspect an isolated, but thriving rubber plantation in the African jungle during World War II, Worthing (Richard Ainley) reminisces about the old days, when conditions were much harsher. The film then flashes back to 1910.","","",""
Cinderella Swings It,1943,69,Comedy,6.4,Christy Cabanne,Clarence Budington Kelland,Kenneth Brown,Willie Best,Leonid Kinskey,Dink Trout,"Scattergood Baines is a local merchant in the New England town of Coldriver. To support the war effort, he donates a tract of land to the army and organizes the local civilian defense team. In addition, when a local bandleader, Tommy Stewart, is upset over not being able to enlist until he graduates, Scattergood suggests that Stewart and his female friend, Sally Benson, organize a local show to support the USO.","","",""
Mrs. Parkington,1944,124,Drama,7.0,Tay Garnett,Robert Thoeren,Cecil Kellaway,Edward Arnold,Walter Pidgeon,Dan Duryea,"At Christmastime in 1938, Susie Parkington, an elderly society matron and widow of the wealthy businessman and financier Major Augustus Parkington, is visited by her many relatives, with the exception of her beloved great-granddaughter Jane. Except for Jane, Susie's heirs are boorish, dissolute, and unhappy despite their wealth. When Jane does appear, she informs her great-grandmother that she plans to secretly elope with Ned Talbot, her father's employee, who wishes to take her away from her family and their way of life.","","",""
The Princess and the Pirate,1944,94,Comedy,6.8,David Butler,Don Hartman,Victor McLaglen,Marc Lawrence,Hugo Haas,Adia Kuznetzoff,"A pirate captain known as the Hook (Victor McLaglen) buries his treasure on an island and kills the map maker so no one else will find it. He and his cut-throat crew go after the Mary Ann, a ship on which Princess Margaret (Virginia Mayo) is running away from her father, the King (Robert Warwick), so she can marry a commoner. The Hook plans to hold her for a large ransom. A cowardly actor, Sylvester the Great (Hope), is in the cabin next door to Margaret. The Hook's ship, The Avenger attacks the Mary Ann and after a big fight, the crew are killed or made to walk the plank by the pirates. Sylvester escapes by disguising himself as a gypsy woman and is taken on board The Avenger with Margaret.","","",""
Mildred Pierce,1945,111,Drama,7.9,Michael Curtiz,Ranald MacDougall,Zachary Scott,Jack Carson,Moroni Olsen,Bruce Bennett,"\"Following several gunshots, Monte Beragon (Zachary Scott) collapses in the living room of a beach house. He whispers the name \"\"Mildred","\"\" and dies. His wife",Mildred Pierce-Beragon (Joan Crawford),soon arrives at the police station and acts suspiciously nervous
They Were Expendable,1945,135,Drama,7.2,John Ford,William L. White,Robert Montgomery,John Wayne,Jack Holt,Leon Ames,"\"In December 1941, a squadron of PT Boats under the command of Lt. John \"\"Brick\"\" Brickley (Robert Montgomery) is sent to Manila to help defend the Philippines against a potential Japanese invasion. However",upon their arrival,instead of a welcome,they are ridiculed by the local military commanders. One of Brick's men
The Falcon's Alibi,1946,61,Drama,6.3,Ray McCarey,Paul Yawitz,Al Bridge,Tom Conway,Paul Brooks,Vince Barnett,"\"Suave sleuth Tom Lawrence AKA The Falcon (Tom Conway) is enjoying a day at the racetrack but is equally enjoying the sight of attractive fellow race-goer Joan Meredith (Rita Corday). Meredith is the beleaguered personal secretary of her wealthy employer Mrs Gloria Peabody (Esther Howard). When Joan discovers the identity of her admirer she implores Tom to accept Mrs Peabody's invitation to a birthday party. Tom attends the swanky party at the Barbary Towers hotel where Joan explains that ever since Mrs Peabody made an insurance claim on a stolen necklace she has been trailed by an over-zealous insurance investigator called Metcalf (Emory Parnell). Joan also admits that in order to protect her employer she secretly took Mrs Peabody's famous $100,000 pearl necklace to a jeweller to have a copy made - but was stunned to be told by the jewellers that the necklace was fake. Tom agrees to help Joan find the real necklace but moments later the head waiter at the party Louie (Alphonse Martell) is killed in Mrs Peabody's suite. Joan and Tom stumble upon the body, and when the police arrive Inspector Blake (Al Bridge) discovers that the Peabody pearls have been stolen. Later, in his hotel room Tom is receiving a massage from his sidekick \"\"Goldie\"\" Locke (Vince Barnett) when someone takes a pot-shot at them. As Tom is digging the bullet out of the wall",we see Nick (Elisha Cook Jr.),a disc jockey operating out of the hotel,sneak back into his studio where we can hear his supposedly live broadcast is in fact a pre-recorded one.The following day Tom notices ambitious hotel nightclub singer Lola Campbell (Jane Greer) wearing an expensive ring and is surprised when she states that it is a phony. Tom sends Goldie to light a fire in a trashcan inside the hotel room of Harvey Beaumont (Jason Robarts Snr.)
The Stone Flower,1946,89,Drama,7.1,Aleksandr Ptushko,Pavel Bazhov,Aleksandr Kleberer,Mikhail Yanshin,Nikolai Orlov,Nikolay Temyakov,The story is told from the point of view the old storyteller Slyshko.,"","",""
