title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
The Death Kiss,1932,75,Comedy,6.0,Edwin L. Marin,Madelon St. Dennis,Edward Van Sloan,John Wray,Bela Lugosi,Al Hill,"During the filming of a death scene of The Death Kiss, leading man Myles Brent is really shot and killed. Tonart Studios manager Joseph Steiner (Lugosi) is assigned to handle the situation. The studio wants to pass it off as a simple accident, but screenwriter Franklyn Drew (Manners) digs a bullet out of a wall and tells Homicide Detective Lieutenant Sheehan that it is a .38 caliber, while the guns used in the film are all .45s.","","",""
Gabriel Over the White House,1933,86,Drama,6.4,Gregory La Cava,Carey Wilson,Samuel S. Hinds,C. Henry Gordon,David Landau,Dickie Moore,"\"The film opens during the depths of the Great Depression, with the inauguration of newly-elected President Judson C. \"\"Judd\"\" Hammond (Walter Huston). Hammond",a genial but corrupt and apathetic party hack,"cares little for the pressing concerns of the day. Dismissing unemployment and bootlegging to be \"\"local problems\"\"","he demonstrates more interest in playing with his nephew Jim and sleeping with his \"\"private secretary\"\""
L'Atalante,1934,89,Comedy,7.7,Jean Vigo,Jean Guinée,Maurice Gilles,Raphaël Diligent,Raphaël Diligent,Lou Bonin,"Jean, the captain of the canal barge L'Atalante, marries Juliette in her village. They decide to live aboard L'Atalante along with Jean's crew, Père Jules and the cabin boy.","","",""
A Night at the Opera,1935,96,Comedy,7.8,Sam Wood,George S. Kaufman,Harpo Marx,Chico Marx,Sig Ruman,Robert Emmett O'Connor,"\"In Milan, wealthy dowager Mrs. Claypool (Margaret Dumont) has hired sly, wisecracking business manager Otis B. Driftwood (Groucho Marx) to help her enter society, but he merely helps himself to her money. At dinner in a fancy restaurant, he introduces her to opera impresario Herman Gottlieb (Sig Ruman). Gottlieb tries to persuade her to hire famed Italian tenor Rodolfo Lassparri (Walter Woolf King) for his New York opera company, and takes her to watch an opera performance with Lassparri as lead. Claypool is impressed and agrees to hire Lasspari for $1000 a night. Determined to cut himself a piece of the pie, Driftwood decides to sign Lassparri for the New York opera company first, and rushes backstage after the opera to find him.Back stage, Lassparri is a total jerk who beats his playful, mute assistant Tomasso (Harpo Marx). He tries to romance beautiful chorus member Rosa Castaldi (Kitty Carlisle). However, she has two problems with that - first, Lassparri is an arrogant, rude, egotistical brute, and second, she's in love with Riccardo Baroni (Allan Jones.) Riccardo sings in the chorus, hoping for his break to stardom. Riccardo meets up with his old friend Fiorello (Chico Marx), Tomasso's partner, who declares himself Riccardo's manager and decides to help him move further in the opera world. Looking to sign Lassparri before Gottlieb gets to him, Driftwood wanders backstage and runs into Fiorello, who claims to be the manager of the greatest tenor in the world. Excited, Driftwood whips out 2 questionable contracts for him and Fiorello to sign- however, due to Fiorello's stupidity and inability to read and Driftwood's sarcasm, a comical scene unfolds where they argue incessantly about clauses stating things like \"\"in this contract","the party of the first part shall be known as the party of the first part\"\" and so on. They end up ripping both contracts to shreds",though they both agree they have a contract. At this point,Gottlieb and Claypool arrive backstage and find Lassparri and sign him up - Fiorello informs a confused Driftwood that HE signed Riccardo Baroni!Gottlieb prepares to set sail for New York at once with Mrs. Claypool
Star of Midnight,1935,90,Comedy,6.7,Stephen Roberts,Howard J. Green,Ralph Morgan,Robert Emmett O'Connor,J. Farrell MacDonald,Paul Kelly,"New York lawyer and playboy Clay Dalzell (William Powell) is asked by old friend Tim Winthrop to locate his girlfriend Alice, who mysteriously disappeared in Chicago a year ago. Winthrop cannot stop thinking about her and believes she is in New York.","","",""
The Charge of the Light Brigade,1936,115,Action,7.0,Michael Curtiz,Michael Jacoby,Patric Knowles,Errol Flynn,Henry Stephenson,Robert Barrat,"In 1854, Major Geoffrey Vickers (Errol Flynn) and his brother, Captain Perry Vickers (Patric Knowles), are stationed at the fictional city of Chukoti in India, with the 27th Lancers of the British Army during the period of East India Company dominance over the Indian subcontinent. Perry has secretly betrayed Geoffrey by stealing the love of his fiancee Elsa (Olivia de Havilland).","","",""
Follow the Fleet,1936,110,Comedy,7.1,Mark Sandrich,Dwight Taylor,Randolph Scott,Brooks Benedict,Ray Mayer,Harry Beresford,"\"Seaman \"\"Bake\"\" Baker (Fred Astaire) and Sherry (Ginger Rogers) are former dance partners",now separated,with Baker in the Navy and Sherry working as a dance hostess in a San Francisco ballroom,Paradise.
The Great Ziegfeld,1936,176,Drama,6.6,Robert Z. Leonard,William Anthony McGuire,Ray Bolger,Frank Morgan,Ernest Cossart,Reginald Owen,"\"The son of a highly respected music professor, Florenz \"\"Flo\"\" Ziegfeld",Jr. yearns to make his mark in show business. He begins by promoting Eugen Sandow,"the \"\"world's strongest man\"\"",at the 1893 Chicago World's Fair
Guns and Guitars,1936,57,Drama,6.5,Joseph Kane,Dorrell McGowan,Eugene Jackson,Frankie Marvin,Smiley Burnette,Earle Hodgins,"Colima County, Texas has barred the entry of cattle from fever-ridden Sage County, where two unscrupulous schemers, Morhan and Conner, have raised thousands of head of the cattle suffering from Texas Cattle Fever. The cattle are secretly owned by leading citizen Dave Morgan (J.P. McGowan). While driving the diseased cattle to a railhead for shipping, they cross a corner of Colima Country and are spotted and fired upon by Marjorie Miller (Dorothy Dix), daughter of Sheriff Ed Miller (Jack Rockwell). The outlaws are about to kidnap the girl when Gene Autry (Gene Autry), Frog Millhouse (Smiley Burnette), and Shorty (Frankie Marvin) arrive on the scene and rescue the girl. Gene and his sidekicks are traveling with Professor Parker's traveling medicine show.","","",""
Pennies from Heaven,1936,81,Comedy,6.5,Norman Z. McLeod,Katherine Leslie Moore,Tom Dugan,Donald Meek,Louis Armstrong,Bing Crosby,"In prison, Larry Poole (Bing Crosby), a self-described troubadour, is approached by an inmate named Hart (John Gallaudet) who is on his way to the electric chair. Hart asks Larry to deliver a letter to a family called Smith near Middletown, New Jersey. After finding the family, which consists of a grandfather (Donald Meek) and a young girl named Patsy (Edith Fellows), Poole tells them that the letter holds a key, reveals that the condemned man had unintentionally killed Patsy's father and that he is giving the Smith family his old house and former hideout, the only thing he has to give as atonement.","","",""
Camille,1936,109,Drama,7.3,George Cukor,Zoe Akins,Rex O'Malley,Robert Taylor,Lionel Barrymore,Henry Daniell,"The plot follows the two characters who have recently married and are going to Niagara Falls on their honeymoon. Silas Parker (Franco) is a thief who marries Camille Foster (Miller), his parole officer's niece, in hopes it will be his chance to escape to Canada. Silas cannot stand Camille and she is blind to how he really feels, believing that everything will be all right once they get to the falls. After their wedding Camille frets about there being no rice thrown and how that is bad luck.","","",""
Yodelin' Kid from Pine Ridge,1937,60,Drama,5.6,Joseph Kane,Jack Natteford,LeRoy Mason,Frankie Marvin,Russell Simpson,Smiley Burnette,"\"In a large pine forest in the American Southeast called Pine Ridge, a feud is ongoing between cattlemen who want to burn the forest for grazing land, and \"\"turpentiners\"\" who make their living harvesting pine sap. The cattlemen suspect that the turpentiners are rustling their cattle",not knowing that the man organizing the rustling is Len Parker (LeRoy Mason),a cattleman. Arthur Autry is among the cattlemen who believe they should raid the turpentiners and burn them out. Arthur's fair-minded son,Gene Autry (Gene Autry)
Merrily We Live,1938,95,Comedy,7.3,Norman Z. McLeod,Eddie Moran,Clarence Kolb,Tom Brown,Alan Mowbray,Brian Aherne,"\"Grosvenor (Alan Mowbray), the Kilbournes' butler, discovers at breakfast that the family silver has been stolen by the latest tramp, Ambrose, whom Emily Kilbourne (Billie Burke) had taken under her wing as the chauffeur, in her latest attempt to reform fallen and destitute men, much to the exasperation of the rest of the family. A distressed Emily swears off taking in any more tramps, to the delight of the rest of the family. However, later in the morning, Wade Rawlins (Brian Aherne) appears at the doorstep. His car had broken down; when he got out, it rolled off a cliff. He wants to use the telephone, but is instead immediately adopted by Emily Kilbourne, despite the rude efforts of Grosvenor and Emily's daughters Geraldine \"\"Jerry\"\" (Constance Bennett) and Marion (Bonita Granville). Further attempts to convince Mrs. Kilbourne to get rid of this latest tramp are blissfully ignored.","","",""
Three Comrades,1938,98,Drama,7.1,Frank Borzage,F. Scott Fitzgerald,Robert Young,Lionel Atwill,Robert Taylor,Monty Woolley,"The city, which is never referred to by name (however, it is likely Berlin), is crowded by a growing number of jobless and marked by increasing violence between left and right. The novel starts out in the seedy milieu of bars where prostitutes mingle with the hopeless flotsam that the war left behind. While Robert and his friends manage to make a living dealing cars and driving an old taxi, economic survival in the city is getting harder by the day. It is in this setting that Robert meets Patrice Hollmann, a mysterious beautiful young woman with an upper-middle-class background. Their love affair intensifies as he introduces her to his life of bars and races and Robert's nihilistic attitude slowly begins to change as he realizes how much he needs Pat.","","",""
The Story of the Last Chrysanthemum,1939,148,Drama,7.8,Kenji Mizoguchi,Matsutarô Kawaguchi,Shôtarô Hanayagi,Ichirô Yûki,Tamitaro Onoue,Jun'nosuke Hayama,"The film is set in Japan in 1885, alternating largely between Tokyo and Osaka.","","",""
Kitty Foyle,1940,108,Drama,6.9,Sam Wood,Christopher Morley,James Craig,Ernest Cossart,Eduardo Ciannelli,Walter Kingsford,"Kitty Foyle (Ginger Rogers), a saleswoman in a New York boutique working for Delphine Detaille (Odette Myrtil), faces a life-changing decision: marry doctor Mark Eisen (James Craig) or run away to South America with the man she has loved for many years, the already-married Wyn Strafford (Dennis Morgan). As she wrestles with her decision, the film flashes back to her youth in Philadelphia.","","",""
Citizen Kane,1941,119,Drama,8.3,Orson Welles,Herman J. Mankiewicz,Erskine Sanford,Erskine Sanford,William Alland,Everett Sloane,"\"It's 1941, and newspaper tycoon Charles Foster Kane (Orson Welles, who also directed and co-wrote the script) is dead. The opening shots show Xanadu, Kane's vast, elaborate, and now unkempt estate in Florida. Interspersed with segments of his newsreel obituary are scenes from his life and death. Most puzzling are his last moments: clutching a snowglobe, he mutters the word \"\"rosebud.\"\" Kane",whose life was news and whose newspapers not only reported but formed public opinion,was central to his time,a larger-than-life figure. The newsreel editor feels that until they know who or what Rosebud is they won't have the whole story on Kane. He assigns a reporter called Thompson (William Alland) to investigate Rosebud.Thompson digs into Kane's life and hears a lot of stories
Dr. Jekyll and Mr. Hyde,1941,113,Drama,6.8,Victor Fleming,John Lee Mahin,Peter Godfrey,Frederick Worlock,Ian Hunter,Donald Crisp,"\"In London, in 1887, prominent physician Henry Jekyll incurs the ire of his older colleagues because of his experiments and views on the possibility of separating the good and evil aspects of man's nature. Hanry is deeply in love with Beatrix Emery, the daughter of Sir Charles Emery, who likes Henry, but is concerned over his radical ideas and open display of affection for Bea. Henry throws himself into his work and has enough success experimenting with rabbits and guinea pigs to make him confident that the serun he has developed will work for humans. Hoping to try the serum out on Sam Higgins, a man who went mad after being in a gas works explosion, Henry rushes to the hospital but discovers that Higgins has just died. Henry then decides to take the serum himself and is briefly transformed, in both thought and countenance, into an evil alter ego. After taking an antidote to turn himself back to normal, Henry tells his butler, Poole, that strange voice he heard was a \"\"Mr. Hyde\"\".Just then",Sir Charles,accompanied by Bea,comes for a visit and announces that he will be taking Bea to the Continent to give Henry time to consider his position. Despite his loneliness during Bea's absence
Journey Into Fear,1943,68,Drama,6.5,Norman Foster,Orson Welles,Jack Durant,Everett Sloane,Joseph Cotten,Frank Readick,"In an opening scene before the credits an assassin, Banat, is seen preparing a gun while a gramophone skips as it plays. The story that follows is the narrative of a letter from Howard Graham, an American armaments engineer, to his wife Stephanie. While journeying to the Soviet port of Batumi to return to the United States to complete his business with the Turkish Navy, Graham and his wife stop in Istanbul and are met by Kopeikin, a Turkish employee of Graham's company, who under the pretense of discussing business, takes Graham to a nightclub to introduce him to dancer Josette Maretl and her partner Gogo. Banat tries unsuccessfully to kill Graham during a magic act, shooting the magician instead. Graham is brought to the headquarters of the Turkish secret police for questioning, where Colonel Haki blames the assassination attempt on German agents seeking to delay the re-arming of Turkish ships. The colonel shows Graham a photograph of Banat, whom he says was hired by a Nazi agent named Muller. Haki then orders Graham to travel secretly to Batumi aboard a tramp steamer, while Haki personally oversees the safe overland transit of Stephanie.","","",""
Tales of Manhattan,1942,118,Comedy,7.3,Julien Duvivier,Ben Hecht,Eddie 'Rochester' Anderson,Edward G. Robinson,Charles Laughton,Charles Boyer,"\"Based on the Mexican writer Francisco Rojas González's novel, Historia de un frac (\"\"Story of a Tailcoat\"\")",the stories follow a black formal tailcoat cursed by a cutter as it goes from owner to owner,in five otherwise unconnected stories.,""
Captive Wild Woman,1943,61,Horror,5.4,Edward Dmytryk,Ted Fithian,Paul Fix,Fred Aldrich,Vince Barnett,Milburn Stone,"The film begins with animal trainer Fred Mason (Milburn Stone) returning from his latest safari with a horde of animals for his employer John Whipple (Lloyd Corrigan), owner of the Whipple Circus. Among them is Cheela (Ray Corrigan), a gorilla with remarkably human characteristics. Mason relates that she is the most affectionate jungle animal he has ever encountered.","","",""
The Canterville Ghost,1944,95,Comedy,6.9,Jules Dassin,Oscar Wilde,Charles Laughton,Charles Laughton,Donald Stuart,Robert Young,"\"In 1634, in England, Sir Simon de Canterville agrees to take his wounded brother Anthony's place in a duel with the diminutive Sir Valentine Williams. The portly Simon demands that the duel be fought with lances, but to his horror, Sir Valentine also claims injury and sends his enormous cousin to the duel in his stead. After the first pass, a terrified Simon flees on his horse and hides in an alcove in the Canterville castle. Valentine pursues him there, but Simon's proud father, Lord Canterville, insists that his son would not tarnish the family name by hiding. As proof of Simon's courage, Lord Canterville agrees to have the alcove bricked up and, despite Simon's pleas, condemns him to die in the tomb and walk the castle's halls until a Canterville descendent commits a brave act while wearing Simon's signet ring. In 1943, the now-deserted Canterville castle, with its infamous ghost, Simon, is besieged by a platoon of American soldiers, who are to be billeted there. The castle's current owner, the precocious six-year-old Lady Jessica de Canterville, who lives nearby with her aunt, Mrs. Polverdine, greets the soldiers and tells them about the castle's haunting. The men, led by Sergeant Benson, are at first skeptical of Jessica's claims, but change their minds when Simon appears before them that night, moaning and striking ghastly poses. When one cocky soldier, Cuffy Williams, decides to scare the ghost back by chasing it in a sheet and gas mask, Simon disappears up a chimney. The next morning, the soldiers, exhausted from their previous night's activities, are reprimanded by their commander, Lt. John Kane, who refuses to believe their ghost tales. Seeing that Cuffy is limping, Kane orders him to clean the castle, while the rest of the platoon drills in the surrounding woods. Cuffy is soon joined by Jessica and insists on introducing her to Simon. After overcoming her fears, Jessica talks openly to Simon, who reveals his father's curse and bemoans his lonely entrapment, which has been prolonged because all of his descendents have been cowards. Jessica then notices that Cuffy has the Canterville birthmark on his neck and speculates that Cuffy is a Canterville and is brave enough to break the curse. That night, Jessica and Simon question a bemused Cuffy about his English ancestors and confirm their suspicions that he is a descendent of Simon's nephew. Simon then asks Cuffy, whom he calls \"\"nephew","\"\" to wear his signet ring into battle",and Cuffy agrees. Later,at a party hosted by Mrs. Polverdine
The Conspirators,1944,101,Drama,6.5,Jean Negulesco,Frederic Prokosch,Paul Henreid,Sydney Greenstreet,Peter Lorre,Joseph Calleia,"During World War II, former schoolteacher turned Dutch resistance fighter Vincent Van Der Lyn (Paul Henreid) causes so much trouble for the Nazis, they place a bounty on his head. As a result, he is ordered to travel to England by way of neutral Lisbon.","","",""
Laura,1944,88,Drama,7.9,Otto Preminger,Vera Caspary,Wally Albright,Dana Andrews,John Alban,Clifton Webb,"New York City Police Department detective Mark McPherson (Dana Andrews) is investigating the murder of a beautiful and highly successful advertising executive, Laura Hunt (Gene Tierney). Laura has apparently been killed by a shotgun blast to the face, just inside the doorway of her apartment.","","",""
None But the Lonely Heart,1944,113,Drama,6.4,Clifford Odets,Clifford Odets,Dan Duryea,Konstantin Shayne,George Coulouris,Cary Grant,"Ernie Mott (Cary Grant) is a restless, irresponsible, wandering Cockney with a good musical ear. On Armistice Day, Ernie visits the tomb of the Unknown Warrior in Westminster Abbey, which memorializes those who died in World War I, including his father. Ernie wants a better life but does not want to settle down or work for it. When he returns home, Ma Mott (Ethel Barrymore) asks why he has returned after so long, and she gives him an ultimatum that he must stay home now or leave forever. He informs her that he will then be leaving next morning, and goes out to get a drink. He meets fellow musician Aggie Hunter (Jane Wyatt) outside the bar, but instead prefers the company of a gangster's fickle former wife, Ada Brantline (June Duprez). However, when Ernie becomes smitten with Ada she rejects his offer of a date when he tells her he will be leaving town tomorrow.","","",""
Voice in the Wind,1944,85,Drama,5.4,Arthur Ripley,Arthur Ripley,J. Edward Bromberg,J. Carrol Naish,Howard Johnson,David Cota,"\"Jan Foley (Francis Lederer), an amnesiac Czech pianist is a victim of Nazi torture for playing a banned song. Living under a new identity on the island of French-governed Guadalupe, Jan tries to recall his past life while working for crooked refugee-smuggler Angelo (Alexander Granach). To the melancholy island of Guadalupe come a band of refugees, stripped of their friends and their country by the war. Among them dwells a brooding, sinister man known only as \"\"El Hombre","\"\" whose memory was destroyed by the brutality of the Nazis. One evening",as El Hombre sits trance-like at the piano and plays a somber melody,his music drifts into the room inhabited by other refugees
The Woman in the Window,1944,107,Drama,7.6,Fritz Lang,Nunnally Johnson,Edward G. Robinson,Thomas E. Jackson,Dan Duryea,Dan Duryea,"After criminology professor Richard Wanley sends his wife and two children off on vacation, he goes to his club to meet friends. Next door, Wanley sees a striking oil portrait of Alice Reed (Joan Bennett) in a storefront window. He and his friends talk about the beautiful painting and its subject. Wanley stays at the club and reads Song of Songs. When he leaves, Wanley stops at the portrait and meets Reed, who is standing near the painting watching people watch it. Reed convinces Wanley to join her for drinks.","","",""
Along the Navajo Trail,1945,66,Drama,5.8,Frank McDonald,Gerald Geraghty,Roy Barcroft,Sam Flint,Emmett Vogan,Douglas Fowley,"Deputy U.S. Marshal Roy Rogers poses as a wandering poet, finding and defeating a group of bad guys who, for reasons they keep to themselves, are trying to oust a girl and her father from their ranch. As the plot develops, it is revealed that they want the ranch so they can sell it to a company that wants to run an oil pipeline through a mountain pass at the edge of the property.","","",""
Blood on the Sun,1945,94,Drama,6.0,Frank Lloyd,Lester Cole,James Cagney,Robert Armstrong,John Emery,Wallace Ford,"Nick Condon (James Cagney) is a journalist for the Tokyo Chronicle. He prints a story disclosing Japan's plan to conquer the world. The newspaper is seized by Japanese officers. Condon gets the Tanaka Plan, a paper in which all the plans are described. The Japanese spies who follow him think that Ollie and Edith Miller (Wallace Ford and Rosemary DeCamp) are the ones who discovered the plan because they suddenly have a lot of money and are coming back to the USA. When Condon goes to the ship to bid them farewell, he finds Edith dead. Hearing someone in the adjoining room, he tries to enter, but the intruder escapes. He has only a glimpse of a woman's hand wearing a ring with a huge ruby. Returning home, he finds Ollie, badly beaten. Ollie gives him the Tanaka plan before dying.","","",""
Angel on My Shoulder,1946,100,Comedy,6.8,Archie Mayo,Harry Segall,Erskine Sanford,Onslow Stevens,Hardie Albright,Claude Rains,"\"After his release from prison, gangster Eddie Kagle (Paul Muni) is killed by his partner in crime, Smiley Williams (Hardie Albright). Kagle ends up in Hell, where \"\"Nick\"\" (Claude Rains) offers him a chance to escape hell and avenge his own death in exchange for help with a problem. Kagle looks exactly like Judge Frederick Parker",an upright man who is causing Nick distress because he is entirely too honest. Nick fears that Parker/Kagle may cause him more anxiety in future,as he is running for governor of his state. Nick wants to destroy Parker's reputation and Kagle readily agrees to have his soul transferred into Parker's body.,""
The Brute Man,1946,58,Drama,4.4,Jean Yarbrough,George Bricker,Peter Whitney,Fred Coby,Tom Neal,Carl Anders,"The police investigate a string of murders committed by the Creeper (Rondo Hatton), a mysterious killer with a hideously disfigured face. The Creeper attacks and murders Professor Cushman (John Hamilton), a professor from the nearby Hampton University. Later that night, the killer approaches a woman named Joan Bemis (Janelle Johnson) in front of her home and identifies himself as Hal Moffet. Joan screams hysterically at the sight of him until he is driven to kill her. When police cars approach, the Creeper climbs the fire escape of a city tenement building to escape and enters the apartment of Helen Paige (Jane Adams), a blind pianist. Unable to see the Creeper's deformed face, Helen is not afraid of the intruder, even when he admits to fleeing. When police officers knock on her door, failing to identify themselves, Helen encourages him to hide in her bedroom, where he escapes through the window.","","",""
My Darling Clementine,1946,97,Drama,7.7,John Ford,Samuel G. Engel,Henry Fonda,Tim Holt,John Ireland,Walter Brennan,"In 1882 (in reality, the gunfight at the O.K. Corral happened on October 26, 1881), Wyatt, Morgan, Virgil, and James Earp are driving cattle to California when they cross Old Man Clanton. When they learn about the nearby boom town of Tombstone, the older brothers ride in, leaving the youngest brother James to watch over the cattle. The Earps soon learn that Tombstone is a lawless town without a marshal. Wyatt is the only man in the town willing to face the drunk Indian shooting at the townspeople. When they return to their camp, they find the cattle rustled and James murdered.","","",""
